Name,Stars,City,Country,Cuisine,Chef,Price,Website,Michelin Guide page,Address
Racine,2 Stars,Reims,France,Creative,,€€€€,https://www.racine.re/,https://guide.michelin.com/en/grand-est/reims/restaurant/racine,"6 place Godinot, Reims, 51100, France"
La Table de Pavie,2 Stars,Saint-Emilion,France,Creative,,€€€€,https://www.hoteldepavie.com,https://guide.michelin.com/en/nouvelle-aquitaine/saint-milion/restaurant/la-table-de-pavie,"Hôtel de Pavie, 5 place du Clocher, Saint-Emilion, 33330, France"
Maison Ronan Kervarrec,2 Stars,Saint-Grégoire,France,Modern Cuisine,,€€€€,https://maisonkervarrec.com,https://guide.michelin.com/en/bretagne/saint-grgoire/restaurant/maison-ronan-kervarrec,"1 impasse du Vieux-Bourg, Saint-Grégoire, 35760, France"
René et Maxime Meilleur,2 Stars,Saint-Martin-de-Belleville,France,"Creative, Regional Cuisine",,€€€€,https://www.la-bouitte.com,https://guide.michelin.com/en/auvergne-rhone-alpes/saint-martin-de-belleville/restaurant/rene-et-maxime-meilleur,"Hameau de Saint-Marcel, Saint-Martin-de-Belleville, 73440, France"
Cédric Burtin,2 Stars,Saint-Rémy,France,"Creative, Modern Cuisine",,€€€€,https://cedricburtin.com,https://guide.michelin.com/en/bourgogne-franche-comte/saint-rmy/restaurant/cedric-burtin,"Chemin de Martorez, Saint-Rémy, 71100, France"
L'Auberge de Saint-Rémy - Fanny Rey & Jonathan Wahid,2 Stars,Saint-Rémy-de-Provence,France,Modern Cuisine,,€€€€,https://www.aubergesaintremy.com,https://guide.michelin.com/en/provence-alpes-cote-dazur/saint-rmy-de-provence/restaurant/l-auberge-de-saint-remy-fanny-rey-and-jonathan-wahid,"12 boulevard Mirabeau, Saint-Rémy-de-Provence, 13210, France"
La Côte d'Or,2 Stars,Saulieu,France,Modern Cuisine,,€€€€,https://www.bernard-loiseau.com/,https://guide.michelin.com/en/bourgogne-franche-comte/saulieu/restaurant/la-cote-d-or,"Le Relais Bernard Loiseau, 2 avenue Bernard-Loiseau, Saulieu, 21210, France"
Jean Sulpice,2 Stars,Talloires-Montmin,France,Creative,Jean Sulpice,€€€€,https://www.perebise.com,https://guide.michelin.com/en/auvergne-rhone-alpes/talloires-montmin/restaurant/jean-sulpice,"303 route du Port, Talloires-Montmin, 74290, France"
L'Auberge de Montmin,2 Stars,Talloires-Montmin,France,Creative,,€€€€,https://www.aubergedemontmin.com,https://guide.michelin.com/en/auvergne-rhone-alpes/talloires-montmin/restaurant/l-auberge-de-montmin,"1983 route de Talloires, Col de la Forclaz, Talloires-Montmin, 74210, France"
Py-r,2 Stars,Toulouse,France,Creative,,€€€€,https://www.py-r.com/,https://guide.michelin.com/en/occitanie/toulouse/restaurant/py-r,"19 descente de la Halle-aux-Poissons, Toulouse, 31000, France"
